District,Area,Type,Floors,Cost
Hyderabad,1000,Budget,1,1900000
Hyderabad,1200,Budget,1,2200000
Hyderabad,1500,Middle,1,3200000
Hyderabad,1500,Luxury,2,4800000
Hyderabad,2000,Luxury,2,6500000
Warangal,1000,Budget,1,1700000
Warangal,1300,Middle,1,2800000
Warangal,1600,Middle,2,3600000
Warangal,2000,Luxury,2,5200000
Karimnagar,1100,Budget,1,1800000
Karimnagar,1500,Middle,2,3400000
Karimnagar,2100,Luxury,2,6000000
Nizamabad,1000,Budget,1,1650000
Nizamabad,1400,Middle,1,2900000
Nizamabad,2000,Luxury,2,5500000
Khammam,900,Budget,1,1600000
Khammam,1300,Middle,1,2700000
Khammam,1800,Luxury,2,5000000
Vijayawada,1200,Budget,1,2000000
Vijayawada,1600,Middle,2,3800000
Vijayawada,2200,Luxury,2,6800000